Id,ActionName,EntityName,EntityId,Description,UserId,IpAddress,UserAgent,TokenExpiresAt,Metadata,Timestamp,ProcessingTimeMs,UserFullName
14975,UserLoggedIn,Squadron,13.0,Password reset request was initiated.,2.0,81.234.41.43,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,2023-10-05 04:13:55,"{""statusCode"": 200, ""ip"": ""239.212.243.190"", ""browser"": ""Chrome""}",2023-10-05 02:13:55,5000.0,Ahmed Ali
5742,ProfileViewed,Enrollment,32.0,Access token generated for session.,1.0,223.229.90.101,curl/7.68.0,,"{""statusCode"": 400, ""ip"": ""96.176.4.170"", ""browser"": ""Chrome""}",2023-04-14 01:15:44,365.0,System Administrator
2367,SquadronUpdated,StudentImport,,User authentication was completed.,5.0,216.65.181.158,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,,"{""statusCode"": 200, ""ip"": ""81.21.200.66"", ""browser"": ""Edge""}",2025-01-10 15:11:18,328.0,Nour Khalil
6258,ProfileViewed,Enrollment,,Bulk operation completed for selected records.,3.0,55.137.230.119,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""12.35.158.157"", ""browser"": ""Firefox""}",2022-09-20 10:17:24,340.0,Sara Mohamed
12198,ProfileViewed,Enrollment,24.0,,4.0,33.228.144.191,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,,,2025-04-09 13:24:35,360.0,Omar Hassan
8862,SquadronUpdated,Enrollment,10.0,New student record was added to the system.,1.0,112.197.103.211,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 500, ""ip"": ""144.32.53.212"", ""browser"": ""Edge""}",2025-06-02 19:04:33,603.0,System Administrator
1901,UserLoggedIn,Enrollment,41.0,System backup was completed successfully.,2.0,22.160.212.49,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,2024-11-08 01:18:40,"{""statusCode"": 500, ""ip"": ""199.150.105.201"", ""browser"": ""Chrome""}",2024-11-07 19:18:40,288.0,Ahmed Ali
5486,ProfileViewed,StudentImport,32.0,Record was archived by the administrator.,6.0,48.8.137.20,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 400, ""ip"": ""240.241.66.99"", ""browser"": ""Chrome""}",2024-10-14 17:56:49,373.0,Youssef Adel
4477,UserLoggedIn,Auth,13.0,Bulk operation completed for selected records.,4.0,2.139.162.14,curl/7.68.0,2023-02-20 13:18:25,"{""statusCode"": 200, ""ip"": ""157.17.11.174"", ""browser"": ""Firefox""}",2023-02-19 13:18:25,427.0,Omar Hassan
2055,SquadronCreated,Squadron,,Data import finished without errors.,6.0,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,,"{""statusCode"": 200, ""ip"": ""111.47.175.231"", ""browser"": ""Edge""}",2024-02-21 11:19:51,299.0,Youssef Adel
1287,AuthCreated,Squadron,,,1.0,108.44.242.151,curl/7.68.0,,"{""statusCode"": 401, ""ip"": ""142.136.251.8"", ""browser"": ""Chrome""}",2024-05-19 15:15:07,289.0,System Administrator
6866,UserLoggedIn,StudentImport,,Profile information was reviewed.,6.0,47.24.214.41,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,2024-11-08 02:22:55,"{""statusCode"": 400, ""ip"": ""132.4.27.185"", ""browser"": ""Chrome""}",2024-11-07 02:22:55,81.0,Youssef Adel
13971,AuthCreated,Squadron,10.0,Record was archived by the administrator.,3.0,97.186.169.219,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 400, ""ip"": ""105.27.228.223"", ""browser"": ""Chrome""}",2024-10-09 06:00:38,289.0,Sara Mohamed
908,UserLoggedIn,Enrollment,,Enrollment confirmed for the selected course.,1.0,108.250.6.49,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,2024-11-06 22:00:58,"{""statusCode"": 200, ""ip"": ""28.231.106.93"", ""browser"": ""Edge""}",2024-11-06 16:00:58,146.0,System Administrator
8766,AuthCreated,Auth,,Annual academic year data was synchronized.,,211.149.87.89,curl/7.68.0,,"{""statusCode"": 200, ""ip"": ""90.63.21.25"", ""browser"": ""Chrome""}",2024-01-10 17:48:50,512.0,Guest user
6221,UserLoggedIn,Auth,6.0,Enrollment confirmed for the selected course.,2.0,31.83.2.211,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 Safari/605.1.15,2025-02-18 08:44:14,"{""statusCode"": 200, ""ip"": ""185.180.115.31"", ""browser"": ""Safari""}",2025-02-18 07:44:14,369.0,Ahmed Ali
8046,UserLoggedIn,Enrollment,19.0,System backup was completed successfully.,4.0,28.157.105.104,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,2024-08-12 21:42:26,"{""statusCode"": 500, ""ip"": ""224.156.44.158"", ""browser"": ""Edge""}",2024-08-12 19:42:26,112.0,Omar Hassan
11672,ProfileViewed,,,Squadron assignment updated by admin.,6.0,139.167.215.123,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 400, ""ip"": ""239.129.176.202"", ""browser"": ""Safari""}",2025-03-24 10:45:51,,Youssef Adel
2597,UserLoggedIn,Enrollment,,Bulk operation completed for selected records.,5.0,185.159.112.74,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,2023-04-28 14:56:57,"{""statusCode"": 500, ""ip"": ""241.11.112.51"", ""browser"": ""Safari""}",2023-04-28 08:56:57,287.0,Nour Khalil
9363,LoginFailed,StudentImport,,The system processed the request successfully.,4.0,,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15 Mobile/604.1,,"{""statusCode"": 400, ""ip"": ""79.122.202.22"", ""browser"": ""Firefox""}",2024-05-02 02:04:25,421.0,Omar Hassan
12445,LoginFailed,Squadron,4.0,Course registration period has been updated.,1.0,31.74.14.221,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 200, ""ip"": ""160.86.214.175"", ""browser"": ""Firefox""}",2023-12-09 08:30:41,350.0,System Administrator
2946,ProfileViewed,Enrollment,11.0,The system processed the request successfully.,6.0,72.3.68.236,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,,2022-08-03 14:14:47,160.0,Youssef Adel
9971,SquadronCreated,Auth,9.0,Record was archived by the administrator.,3.0,188.127.232.177,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""93.131.131.90"", ""browser"": ""Edge""}",2024-04-21 14:21:52,474.0,Sara Mohamed
7294,SquadronUpdated,Squadron,29.0,Course registration period has been updated.,1.0,12.188.88.8,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 200, ""ip"": ""87.76.57.231"", ""browser"": ""Chrome""}",2023-07-18 17:39:02,246.0,System Administrator
6781,SquadronUpdated,Auth,,User session expired and was terminated.,4.0,147.239.119.176,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36,,"{""statusCode"": 200, ""ip"": ""225.109.110.81"", ""browser"": ""Chrome""}",2022-02-11 14:35:10,302.0,Omar Hassan
13413,LoginFailed,Enrollment,44.0,Course registration period has been updated.,7.0,91.66.146.102,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""130.39.150.188"", ""browser"": ""Firefox""}",2024-01-23 14:27:34,459.0,Mona Samir
4318,LoginFailed,StudentImport,,Profile information was reviewed.,2.0,36.128.176.106,Mozilla/5.0 (Android 13; Mobile) Gecko/121.0 Firefox/121.0,,"{""statusCode"": 200, ""ip"": ""95.207.142.142"", ""browser"": ""Safari""}",2023-05-05 14:46:05,247.0,Ahmed Ali
7840,UserLoggedIn,,27.0,,6.0,8.60.124.180,curl/7.68.0,2024-09-14 18:04:20,"{""statusCode"": 200, ""ip"": ""168.206.23.164"", ""browser"": ""Chrome""}",2024-09-14 17:04:20,442.0,Youssef Adel
