Id;FullName;NationalId;DateOfBirth;Gender;City;ProfileImageUrl;IsActive;CreatedAt;UpdatedAt;LastLoginAt;UserName;NormalizedUserName;Email;NormalizedEmail;EmailConfirmed;PasswordHash;SecurityStamp;ConcurrencyStamp;TwoFactorEnabled;LockoutEnd;LockoutEnabled;AccessFailedCount;IsActivated
1300;Amr Nasser;39906151580604;1997-08-25;Female;Fayoum;/uploads/users/17ccc22c-d0f5-419d-8ef4-dedefd617e29.jpg;1;2023-12-05 22:54:35;2024-12-30 22:54:35;;amr.nasser162;AMR.NASSER162;amr.nasser162@outlook.com;AMR.NASSER162@OUTLOOK.COM;1;AQAAAAIAAYagAAAAE7cbc1ef0c9994c56b82761624426c7c2==;CDA83061BA6B4E55866DF4968C9F3300;84c962c4-90d3-49f0-8500-2ff69c0ecd52;0;;1;0;1
592;Nadia Gaber;21606283328475;2005-03-16;Female;Giza;/uploads/users/2130e369-d78d-410d-b2b5-2b09ee0caad6.jpg;1;2026-02-05 02:47:39;2027-01-24 02:47:39;2026-02-15 21:32:33;nadia.gaber601;NADIA.GABER601;nadia.gaber601@hotmail.com;NADIA.GABER601@HOTMAIL.COM;1;AQAAAAIAAYagAAAAE2d1d1342b3f74d6da0773d1ae902293d==;68B0D7AFE0474BF290842CAD409EF233;edf474cb-ff74-4934-966c-4b9245d8c969;0;;1;0;1
1320;Hana Khalil;35205190641316;2006-04-17;Male;Fayoum;/uploads/users/068a7186-10e9-4c63-a0ad-e1f1836549f4.jpg;1;2024-02-21 01:10:52;2024-05-17 01:10:52;2024-02-21 19:43:07;hana.khalil819;HANA.KHALIL819;hana.khalil819@hotmail.com;HANA.KHALIL819@HOTMAIL.COM;1;AQAAAAIAAYagAAAAEdbe3d9aadd8447cea03c3a33530b24a9==;7A8DAA51F98C40BD9B49EB0FC9B714FC;40c986b3-44c4-4117-8a8a-6ecc8fe6bed9;0;;1;2;0
1068;Nour Hamdy;31907170499092;2004-08-25;;Zagazig;/uploads/users/e6ea472a-68e8-4ca0-94ce-a31e84c7b19c.jpg;0;2025-09-09 15:45:40;2025-10-06 15:45:40;;nour.hamdy326;NOUR.HAMDY326;nour.hamdy326@student.edu.eg;NOUR.HAMDY326@STUDENT.EDU.EG;0;AQAAAAIAAYagAAAAE7ece85ec61b74f1a92619d97679b0272==;2334566AC4054FC58A2D34B634853D02;5b9fbe5c-61cd-406b-ba2d-c7fa94e582d0;0;;1;0;0
30;Nader Abdallah;;1999-08-23;Male;Mansoura;/uploads/users/548317e4-dc9a-475e-926e-5b9f813216b8.jpg;1;2024-01-23 23:21:56;2024-03-25 23:21:56;2024-01-26 18:38:10;nader.abdallah563;NADER.ABDALLAH563;nader.abdallah563@yahoo.com;NADER.ABDALLAH563@YAHOO.COM;0;AQAAAAIAAYagAAAAE45b77013c8ea477bbb031b56b23a2248==;65176B1AEA274865AED5C0A0A90EB86B;58739cba-d673-44fd-941d-3562ce908303;0;;1;0;1
1059;Wael Nasser;30104072796299;1990-08-17;Male;;/uploads/users/0e6ee31c-3d5c-434d-b888-9e621b06e189.jpg;1;2024-04-10 11:23:16;2024-07-30 11:23:16;2024-06-24 19:09:08;wael.nasser674;WAEL.NASSER674;wael.nasser674@gmail.com;WAEL.NASSER674@GMAIL.COM;1;AQAAAAIAAYagAAAAE6103c4e811694da79cadd93f0e93abd4==;0533F16D48744F1E9AA21B1BE837DB4D;21bd66fc-5b5b-4cf8-95e7-e5ab41467c0a;0;;1;3;1
713;Samira Abdelrahman;34111072138097;1990-05-27;Female;Alexandria;;1;2024-05-11 22:22:47;2024-12-19 22:22:47;2024-07-22 08:57:35;samira.abdelrahman487;SAMIRA.ABDELRAHMAN487;samira.abdelrahman487@yahoo.com;SAMIRA.ABDELRAHMAN487@YAHOO.COM;0;AQAAAAIAAYagAAAAE00cded7b705249849e24e245d6609062==;1E04ABB09F734274A58A01569D3759A2;df74dd4b-3968-4db4-a396-4d7d637d532d;1;;1;0;1
454;Nader El-Sayed;31902252245580;2000-01-21;Female;Mansoura;/uploads/users/f09b1f46-2072-449d-a360-7340d4f2b682.jpg;1;2022-07-02 04:57:47;2023-03-25 04:57:47;2022-10-31 01:11:23;nader.el-sayed146;NADER.EL-SAYED146;nader.el-sayed146@outlook.com;NADER.EL-SAYED146@OUTLOOK.COM;0;AQAAAAIAAYagAAAAE7fa8f072068f48de9d702521b0d4c131==;B2AC3C5206D54DE59B7CD9A86C987E01;7f06153c-91c4-4dd0-a850-9ef3252ca67e;0;;1;0;1
1648;Yasmine Mohamed;31505240976017;;Male;Port Said;/uploads/users/3af9f34a-eb3b-467a-ab90-81f3b19b3314.jpg;1;2022-06-29 19:56:10;2022-11-12 19:56:10;2022-07-22 08:36:30;yasmine.mohamed790;YASMINE.MOHAMED790;yasmine.mohamed790@student.edu.eg;YASMINE.MOHAMED790@STUDENT.EDU.EG;1;AQAAAAIAAYagAAAAE036d2adc891a4338b9e9bdbe1d1734ba==;3B11BC003C594DD69E841EA2850C0429;7acc33ef-757b-415a-a2e5-7b6bf44ad05e;0;;1;0;1
758;Sara Abdelhamid;28709271078703;2002-10-22;Female;Port Said;/uploads/users/b4f6acba-05eb-4fad-89e4-cbf2ed2a8dda.jpg;1;2022-12-30 03:03:12;2023-03-30 03:03:12;2023-01-10 07:10:58;sara.abdelhamid941;SARA.ABDELHAMID941;sara.abdelhamid941@hotmail.com;SARA.ABDELHAMID941@HOTMAIL.COM;1;AQAAAAIAAYagAAAAEb289e57398bf4cbe94af514eefb9271a==;0F3DC79990FC4162BCB0B59F4B14378E;55ad7809-c1c7-4c60-bce8-a511055c3e01;0;;1;0;1
942;Nadia Abdelhamid;25510020643739;2003-08-19;Male;Cairo;/uploads/users/777d3949-04bc-462c-9e10-64e1e467b1ff.jpg;1;2024-04-17 03:25:15;2025-02-23 03:25:15;2024-11-28 03:44:02;nadia.abdelhamid986;NADIA.ABDELHAMID986;nadia.abdelhamid986@student.edu.eg;NADIA.ABDELHAMID986@STUDENT.EDU.EG;0;AQAAAAIAAYagAAAAE48a069e6b3c0441192f89e03ab26406c==;CEFF6BBE739047CCACB6E2D5C2467F9C;e87ca5a4-4d1c-4d39-9b03-7e79a476bdd2;0;;1;0;0
835;Wael Nasser;35611022321801;1990-08-15;Female;Aswan;/uploads/users/b772eb00-447d-476d-8db8-6a0009643d2b.jpg;1;2023-01-02 19:24:05;2024-01-15 19:24:05;2023-03-22 16:38:29;wael.nasser363;WAEL.NASSER363;wael.nasser363@student.edu.eg;WAEL.NASSER363@STUDENT.EDU.EG;1;AQAAAAIAAYagAAAAE4ca25d7e7ee04afd8e588fd1d52855e0==;497543A539164420869F090629F31BB3;3ee98025-e7fc-420f-9486-fc2703cfb77b;0;;1;0;1
830;Nader Hassan;35310180269872;2006-02-15;Male;Tanta;/uploads/users/d7cc4e92-1bd2-4a5f-801d-1c64cf6cd138.jpg;1;2024-04-20 05:33:22;2025-01-01 05:33:22;2024-06-17 07:45:19;nader.hassan381;NADER.HASSAN381;nader.hassan381@gmail.com;NADER.HASSAN381@GMAIL.COM;1;AQAAAAIAAYagAAAAE6888a9af2f79438baf0fbca37ca3259a==;1ECDEC90E6B34103A3153028EB28CCD9;4f192d40-0f33-481f-b7e8-eb049a2cab3f;0;;1;10;1
234;Ali Khalil;39611132378959;1996-06-07;;;/uploads/users/746799e0-7c80-42c6-841c-d6a0d9a37f47.jpg;1;2024-07-13 05:44:50;2025-02-04 05:44:50;2024-08-29 21:58:24;ali.khalil67;ALI.KHALIL67;ali.khalil67@outlook.com;ALI.KHALIL67@OUTLOOK.COM;1;AQAAAAIAAYagAAAAEbf6b74720a174bc18474b468fbf1fb2c==;26B0A8B292C04C20B48189051A7E8930;3c74426c-4157-49f0-b97e-c255d90d3452;1;;1;0;1
789;Omar El-Sayed;37003211950018;1996-01-17;Female;Cairo;/uploads/users/d4127b79-5dbb-4683-aee3-5af13ae92636.jpg;1;2024-09-04 06:41:32;2025-06-07 06:41:32;2024-09-16 11:47:06;omar.el-sayed901;OMAR.EL-SAYED901;omar.el-sayed901@gmail.com;OMAR.EL-SAYED901@GMAIL.COM;1;AQAAAAIAAYagAAAAE3627c174e7c64fad9a0fffcfc899d512==;F58352384F2C43B69101A9EEA06355F9;2db75ffc-1245-4371-87a6-c356c1314fa6;0;;1;1;0
707;Samira Mohamed;20604091950644;2006-08-06;Female;Alexandria;/uploads/users/9a1b87fe-10da-4ffe-a7a8-76c25077fcdd.jpg;1;2023-10-06 19:38:38;2024-08-30 19:38:38;;samira.mohamed670;SAMIRA.MOHAMED670;samira.mohamed670@gmail.com;SAMIRA.MOHAMED670@GMAIL.COM;0;AQAAAAIAAYagAAAAEb0f155d43fb8453ab2dcec290ce77019==;9D98D1A395F54B99AD4248C6DA223C9B;1bb6512f-0954-4c58-a780-b6d27c8dd949;1;;1;5;1
71;Nour Sayed;22210282671078;2000-03-24;Male;Mansoura;/uploads/users/02209f8d-230e-4c7c-9477-e6dda0adf596.jpg;1;2023-12-14 21:34:17;2024-11-09 21:34:17;2024-03-23 19:27:13;nour.sayed829;NOUR.SAYED829;nour.sayed829@gmail.com;NOUR.SAYED829@GMAIL.COM;1;AQAAAAIAAYagAAAAE78f247d2852845e3b06b0af87dcb02e6==;0678AF1877A043BC8DCCFC6E990F1B92;9de01333-1d35-4221-b9d6-c1bc4ed54f17;0;;1;0;0
1122;Hassan Fahmy;24201132872178;1995-02-20;Female;Alexandria;/uploads/users/32d2bef5-dc45-4b30-b28a-5acc73a10934.jpg;1;2024-03-02 23:03:54;2024-09-09 23:03:54;2024-08-13 07:23:46;hassan.fahmy24;HASSAN.FAHMY24;hassan.fahmy24@yahoo.com;HASSAN.FAHMY24@YAHOO.COM;0;AQAAAAIAAYagAAAAE3f2b54516a8849e7bce4c844d7e88a16==;283F11CD9F3B48BFB5AC5FCEAF59F5D8;92131ecf-6092-417c-b605-3b138723883d;1;;1;0;1
129;Ibrahim Abdelrahman;25302170847311;1994-04-23;Male;Luxor;/uploads/users/5bbe8555-2618-427b-8b6a-40285d13f9cb.jpg;1;2024-12-01 06:14:28;2025-10-19 06:14:28;2024-12-04 20:57:56;ibrahim.abdelrahman259;IBRAHIM.ABDELRAHMAN259;ibrahim.abdelrahman259@student.edu.eg;IBRAHIM.ABDELRAHMAN259@STUDENT.EDU.EG;1;AQAAAAIAAYagAAAAE2c5e4b65a7c041fb8f2f5d690a3775ba==;DA3DA815DF4144D981DED4B119042487;8b620379-cade-4dbd-847a-07d718234df3;1;;1;0;1
1538;Rania Abdelrahman;39112163269263;1999-05-26;Female;Aswan;/uploads/users/7dcdd789-59d1-4faf-8f41-cd5c6cb00ce4.jpg;0;2025-04-10 22:56:24;2025-08-27 22:56:24;2025-05-21 14:54:31;rania.abdelrahman679;RANIA.ABDELRAHMAN679;rania.abdelrahman679@hotmail.com;RANIA.ABDELRAHMAN679@HOTMAIL.COM;1;AQAAAAIAAYagAAAAE9531dd61b75d4e538daf298154b1dab7==;D2ABC804E8604A9B9CFBF600BE5C3B05;0bc0eca2-f4aa-4ec7-ac5c-8d453e313425;0;;1;0;1
57;Amira Fahmy;00000000000000;1998-02-24;Male;Beni Suef;/uploads/users/047f0084-3122-410f-acc1-ec311236982f.jpg;1;2023-10-22 10:29:40;2023-12-01 10:29:40;2023-12-03 05:52:54;amira.fahmy947;AMIRA.FAHMY947;amira.fahmy947@hotmail.com;AMIRA.FAHMY947@HOTMAIL.COM;1;AQAAAAIAAYagAAAAE7def2d87c7dd408b9a9ac720903857b9==;54CE8B4EECFE4AE58134500990319FB3;ec4dea39-a414-470b-92a9-73927d55ed00;1;;1;0;1
