Id,ActionName,EntityName,EntityId,UserId,Timestamp,ProcessingTimeMs,UserFullName,UserId_WasNull,ProcessingTimeMs_WasNull,EntityId_WasNull,Timestamp_Year,Timestamp_Month,Timestamp_Weekday,Timestamp_Hour,IsBusinessHours,Timestamp_Week,SessionDurationHrs,IsLogin,IsProfile,IsBulk,ActionName_Enc,ProcessingTimeMs_Norm,EngagementIndex,ActionCount
14975,UserLoggedIn,Squadron,13.0,2.0,2023-10-05 02:13:55,5000.0,Ahmed Ali,0,0,0,2023,10,3,2,0,40,2.0,1,0,0,6,0.5000500050005001,0.20540540540540597,1484
5742,ProfileViewed,Enrollment,32.0,1.0,2023-04-14 01:15:44,365.0,System Administrator,0,0,0,2023,4,4,1,0,15,0.0,0,1,0,3,0.03650365036503651,0.8653308756240101,1557
2367,SquadronUpdated,StudentImport,-1.0,5.0,2025-01-10 15:11:18,328.0,Nour Khalil,0,0,1,2025,1,4,15,1,2,0.0,0,0,0,5,0.032803280328032806,0.34058184123196084,1448
6258,ProfileViewed,Enrollment,-1.0,3.0,2022-09-20 10:17:24,340.0,Sara Mohamed,0,0,1,2022,9,1,10,1,38,0.0,0,1,0,3,0.034003400340034004,0.4,1446
12198,ProfileViewed,Enrollment,24.0,4.0,2025-04-09 13:24:35,360.0,Omar Hassan,0,0,0,2025,4,2,13,1,15,0.0,0,1,0,3,0.036003600360036005,0.4225583480753272,1483
8862,SquadronUpdated,Enrollment,10.0,1.0,2025-06-02 19:04:33,603.0,System Administrator,0,0,0,2025,6,0,19,0,23,0.0,0,0,0,5,0.06030603060306031,0.8653308756240101,1557
1901,UserLoggedIn,Enrollment,41.0,2.0,2024-11-07 19:18:40,288.0,Ahmed Ali,0,0,0,2024,11,3,19,0,45,6.0,1,0,0,6,0.028802880288028805,0.20540540540540597,1484
5486,ProfileViewed,StudentImport,32.0,6.0,2024-10-14 17:56:49,373.0,Youssef Adel,0,0,0,2024,10,0,17,1,42,0.0,0,1,0,3,0.0373037303730373,0.6785928272260137,1505
4477,UserLoggedIn,Auth,13.0,4.0,2023-02-19 13:18:25,427.0,Omar Hassan,0,0,0,2023,2,6,13,1,7,24.0,1,0,0,6,0.0427042704270427,0.4225583480753272,1483
2055,SquadronCreated,Squadron,-1.0,6.0,2024-02-21 11:19:51,299.0,Youssef Adel,0,0,1,2024,2,2,11,1,8,0.0,0,0,0,4,0.029902990299029902,0.6785928272260137,1505
1287,AuthCreated,Squadron,-1.0,1.0,2024-05-19 15:15:07,289.0,System Administrator,0,0,1,2024,5,6,15,1,20,0.0,0,0,0,0,0.028902890289028906,0.8653308756240101,1557
6866,UserLoggedIn,StudentImport,-1.0,6.0,2024-11-07 02:22:55,81.0,Youssef Adel,0,0,1,2024,11,3,2,0,45,24.0,1,0,0,6,0.008100810081008101,0.6785928272260137,1505
13971,AuthCreated,Squadron,10.0,3.0,2024-10-09 06:00:38,289.0,Sara Mohamed,0,0,0,2024,10,2,6,0,41,0.0,0,0,0,0,0.028902890289028906,0.4,1446
908,UserLoggedIn,Enrollment,-1.0,1.0,2024-11-06 16:00:58,146.0,System Administrator,0,0,1,2024,11,2,16,1,45,6.0,1,0,0,6,0.014601460146014602,0.8653308756240101,1557
8766,AuthCreated,Auth,-1.0,-1.0,2024-01-10 17:48:50,512.0,Guest user,1,0,1,2024,1,2,17,1,2,0.0,0,0,0,0,0.05120512051205121,0.0,0
6221,UserLoggedIn,Auth,6.0,2.0,2025-02-18 07:44:14,369.0,Ahmed Ali,0,0,0,2025,2,1,7,0,8,1.0,1,0,0,6,0.03690369036903691,0.20540540540540597,1484
8046,UserLoggedIn,Enrollment,19.0,4.0,2024-08-12 19:42:26,112.0,Omar Hassan,0,0,0,2024,8,0,19,0,33,2.0,1,0,0,6,0.0112011201120112,0.4225583480753272,1483
11672,ProfileViewed,Unknown,-1.0,6.0,2025-03-24 10:45:51,303.0,Youssef Adel,0,1,1,2025,3,0,10,1,13,0.0,0,1,0,3,0.030303030303030304,0.6785928272260137,1505
2597,UserLoggedIn,Enrollment,-1.0,5.0,2023-04-28 08:56:57,287.0,Nour Khalil,0,0,1,2023,4,4,8,1,17,6.0,1,0,0,6,0.028702870287028705,0.34058184123196084,1448
9363,LoginFailed,StudentImport,-1.0,4.0,2024-05-02 02:04:25,421.0,Omar Hassan,0,0,1,2024,5,3,2,0,18,0.0,1,0,0,2,0.04210421042104211,0.4225583480753272,1483
12445,LoginFailed,Squadron,4.0,1.0,2023-12-09 08:30:41,350.0,System Administrator,0,0,0,2023,12,5,8,1,49,0.0,1,0,0,2,0.03500350035003501,0.8653308756240101,1557
2946,ProfileViewed,Enrollment,11.0,6.0,2022-08-03 14:14:47,160.0,Youssef Adel,0,0,0,2022,8,2,14,1,31,0.0,0,1,0,3,0.016001600160016,0.6785928272260137,1505
9971,SquadronCreated,Auth,9.0,3.0,2024-04-21 14:21:52,474.0,Sara Mohamed,0,0,0,2024,4,6,14,1,16,0.0,0,0,0,4,0.047404740474047406,0.4,1446
7294,SquadronUpdated,Squadron,29.0,1.0,2023-07-18 17:39:02,246.0,System Administrator,0,0,0,2023,7,1,17,1,29,0.0,0,0,0,5,0.024602460246024603,0.8653308756240101,1557
6781,SquadronUpdated,Auth,-1.0,4.0,2022-02-11 14:35:10,302.0,Omar Hassan,0,0,1,2022,2,4,14,1,6,0.0,0,0,0,5,0.030203020302030203,0.4225583480753272,1483
13413,LoginFailed,Enrollment,44.0,7.0,2024-01-23 14:27:34,459.0,Mona Samir,0,0,0,2024,1,1,14,1,4,0.0,1,0,0,2,0.04590459045904591,0.4669550878475935,1522
